1 NONTERMINAL NP+ADVP
254 NONTERMINAL VP+VERB
65 NONTERMINAL SBAR
81 NONTERMINAL ADJP
30 NONTERMINAL WHADVP
1808 NONTERMINAL DET
1 NONTERMINAL S+VP+VERB
2 NONTERMINAL NP+VERB
817 NONTERMINAL WHNP+PRON
2 NONTERMINAL NP+S
11 NONTERMINAL SBAR+S
3 NONTERMINAL NP+X
3 NONTERMINAL NP+NP
17 NONTERMINAL X
251 NONTERMINAL SQ+VP
68 NONTERMINAL CONJ
114 NONTERMINAL NP+PRON
301 NONTERMINAL WHADVP+ADV
1 NONTERMINAL PP+NOUN
1024 NONTERMINAL PP
3852 NONTERMINAL NOUN
4 NONTERMINAL NP+ADJ
27 NONTERMINAL PRT+PRT
24 NONTERMINAL WHPP
1 NONTERMINAL WHNP+WHNP
14 NONTERMINAL ADVP
2032 NONTERMINAL .
1 NONTERMINAL NX
280 NONTERMINAL PRT
103 NONTERMINAL NUM
50 NONTERMINAL NP+NUM
4813 NONTERMINAL NP
1 NONTERMINAL NP+SBAR+S
25 NONTERMINAL NP+DET
244 NONTERMINAL ADV
16 NONTERMINAL VP+NOUN
19 NONTERMINAL ADJP+ADJ
1010 NONTERMINAL ADP
1 NONTERMINAL NP+PP
1 NONTERMINAL PP+PP+ADP
803 NONTERMINAL VP
6 NONTERMINAL PP+PRT
3405 NONTERMINAL SBARQ
2349 NONTERMINAL VERB
1 NONTERMINAL NP+S+VP
1 NONTERMINAL SBAR+VP
656 NONTERMINAL NP+NOUN
2 NONTERMINAL NP+QP
916 NONTERMINAL ADJ
23 NONTERMINAL WHNP+DET
10 NONTERMINAL SBAR+S+VP
7 NONTERMINAL QP
2081 NONTERMINAL SQ
38 NONTERMINAL ADVP+ADV
85 NONTERMINAL S
124 NONTERMINAL WHADJP
569 NONTERMINAL WHNP
73 NONTERMINAL PRON
90 NONTERMINAL S+VP
1 NONTERMINAL VP+S+VP
2 NONTERMINAL ADVP+ADJ
113 NONTERMINAL PP+ADP
1 UNARYRULE NP+NOUN _RARE_
1 UNARYRULE NOUN _RARE_
3 UNARYRULE . <
1 UNARYRULE ADVP+ADV _RARE_
1 UNARYRULE ADJ _RARE_
7 UNARYRULE NOUN war
1 UNARYRULE ADV _RARE_
3 UNARYRULE VERB _RARE_
18 UNARYRULE VP+VERB called
1 UNARYRULE ADP _RARE_
4 UNARYRULE ADV how
42 UNARYRULE NOUN year
5 UNARYRULE ADJ last
6 UNARYRULE NOUN language
4 UNARYRULE NUM _RARE_
1 UNARYRULE S+VP+VERB _RARE_
5 UNARYRULE NOUN years
5 UNARYRULE NOUN William
3 UNARYRULE PRON I
1 UNARYRULE VP+VERB _RARE_
1 UNARYRULE NP+NUM _RARE_
2 UNARYRULE NOUN power
10 UNARYRULE VERB become
5 UNARYRULE NOUN song
1 UNARYRULE PRT+PRT _RARE_
17 UNARYRULE NOUN population
1 UNARYRULE NOUN France
156 UNARYRULE PRT <s
1 UNARYRULE NP+NOUN sport
5 UNARYRULE ADJ South
6 UNARYRULE NOUN America
5 UNARYRULE NOUN battle
5 UNARYRULE NOUN group
17 UNARYRULE VERB Name
2 UNARYRULE NOUN French
8 UNARYRULE NOUN names
78 UNARYRULE ADP for
8 UNARYRULE NOUN colors
3 UNARYRULE NOUN animals
5 UNARYRULE ADJ common
2 UNARYRULE NOUN earth
4 UNARYRULE NOUN mountain
5 UNARYRULE VERB said
16 UNARYRULE NOUN United
14 UNARYRULE NOUN color
1 UNARYRULE NOUN Spanish
8 UNARYRULE NOUN character
1 UNARYRULE ADJP+ADJ _RARE_
6 UNARYRULE ADP into
7 UNARYRULE NOUN abbreviation
13 UNARYRULE NOUN New
12 UNARYRULE NOUN War
1 UNARYRULE NP+NOUN school
1 UNARYRULE PRT+PRT for
2 UNARYRULE VP+VERB become
3 UNARYRULE DET _RARE_
3 UNARYRULE VP+VERB died
1 UNARYRULE X _RARE_
5 UNARYRULE NOUN percentage
12 UNARYRULE ADV far
15 UNARYRULE NP+PRON it
31 UNARYRULE VERB <s
1 UNARYRULE VP+VERB fear
15 UNARYRULE ADP with
108 UNARYRULE WHADVP+ADV When
3 UNARYRULE NOUN British
1 UNARYRULE VP+VERB start
5 UNARYRULE NOUN Lincoln
1 UNARYRULE VERB name
6 UNARYRULE NP+PRON they
2 UNARYRULE VP+VERB run
1 UNARYRULE DET that
6 UNARYRULE PP+PRT to
2 UNARYRULE NP+NUM one
7 UNARYRULE NOUN State
16 UNARYRULE ADJ largest
2 UNARYRULE VERB built
7 UNARYRULE NOUN term
1 UNARYRULE NP+X _RARE_
4 UNARYRULE NP+NOUN Canada
2 UNARYRULE PP+ADP at
1 UNARYRULE VP+VERB get
8 UNARYRULE NOUN day
10 UNARYRULE VERB play
19 UNARYRULE VERB find
2 UNARYRULE NP+NOUN Africa
4 UNARYRULE PP+ADP on
21 UNARYRULE ADV most
10 UNARYRULE ADJ old
8 UNARYRULE ADJ tall
2 UNARYRULE ADV about
14 UNARYRULE PRON its
78 UNARYRULE VERB do
24 UNARYRULE PP+ADP for
6 UNARYRULE NOUN bird
1 UNARYRULE NOUN start
1084 UNARYRULE DET the
3 UNARYRULE PP+ADP by
13 UNARYRULE PP+ADP from
10 UNARYRULE VERB take
13 UNARYRULE NOUN people
2 UNARYRULE NP+NOUN French
5 UNARYRULE ADVP+ADV first
5 UNARYRULE VERB given
7 UNARYRULE NOUN York
1 UNARYRULE ADVP+ADJ _RARE_
8 UNARYRULE ADJ famous
6 UNARYRULE NOUN Kennedy
15 UNARYRULE NOUN president
5 UNARYRULE NOUN Johnson
1 UNARYRULE NOUN run
13 UNARYRULE NOUN President
10 UNARYRULE NOUN Day
3 UNARYRULE NP+NOUN Australia
3 UNARYRULE . _RARE_
11 UNARYRULE NOUN company
1 UNARYRULE NP+NOUN company
1 UNARYRULE VP+VERB painted
12 UNARYRULE VERB be
3 UNARYRULE PRON what
18 UNARYRULE WHNP+DET that
4 UNARYRULE NOUN animal
12 UNARYRULE WHADVP+ADV when
1 UNARYRULE VP+VERB write
7 UNARYRULE ADJ only
1 UNARYRULE NP+NOUN average
1 UNARYRULE NP+PRON _RARE_
1 UNARYRULE VERB born
9 UNARYRULE PRT+PRT out
5 UNARYRULE NP+NOUN place
1 UNARYRULE PP+ADP as
8 UNARYRULE NOUN US
2 UNARYRULE VP+VERB cost
1 UNARYRULE NP+NOUN dog
5 UNARYRULE NOUN Mississippi
1 UNARYRULE ADJ mountain
9 UNARYRULE ADJ highest
8 UNARYRULE ADP that
149 UNARYRULE ADV How
11 UNARYRULE NOUN capital
9 UNARYRULE ADJ real
7 UNARYRULE VERB died
6 UNARYRULE NOUN flight
17 UNARYRULE PP+ADP of
1 UNARYRULE NOUN Texas
247 UNARYRULE VERB was
1 UNARYRULE VP+VERB make
5 UNARYRULE VERB located
4 UNARYRULE VP+VERB work
2 UNARYRULE NP+NOUN President
1 UNARYRULE VERB open
5 UNARYRULE NOUN star
69 UNARYRULE ADJ many
3 UNARYRULE NOUN Australia
5 UNARYRULE NOUN birthstone
7 UNARYRULE VP+VERB have
1 UNARYRULE VP+VERB find
5 UNARYRULE PP+ADP into
2 UNARYRULE VP+VERB use
6 UNARYRULE ADJ top
2 UNARYRULE NP+NOUN types
5 UNARYRULE ADP out
5 UNARYRULE ADJ tallest
7 UNARYRULE VP+VERB mean
15 UNARYRULE PRON his
1 UNARYRULE NP+NOUN battle
1 UNARYRULE ADJP+ADJ open
1695 UNARYRULE . ?
151 UNARYRULE WHNP+PRON Who
1 UNARYRULE VP+VERB used
20 UNARYRULE ADP by
7 UNARYRULE NOUN dog
110 UNARYRULE PRT to
12 UNARYRULE VERB come
2 UNARYRULE NP+DET some
29 UNARYRULE NOUN state
6 UNARYRULE NOUN governor
6 UNARYRULE NOUN Tower
6 UNARYRULE WHNP+PRON who
35 UNARYRULE DET The
11 UNARYRULE NOUN body
9 UNARYRULE ADV much
10 UNARYRULE NOUN University
4 UNARYRULE ADJ North
1 UNARYRULE NOUN light
5 UNARYRULE NOUN rate
6 UNARYRULE NOUN West
2 UNARYRULE VERB cost
4 UNARYRULE PRON _RARE_
2 UNARYRULE ADV only
5 UNARYRULE NOUN college
22 UNARYRULE . .
8 UNARYRULE NOUN King
16 UNARYRULE VP+NOUN mean
1 UNARYRULE NOUN England
4 UNARYRULE NP+NOUN light
15 UNARYRULE NOUN States
5 UNARYRULE PRON her
4 UNARYRULE NP+NOUN France
17 UNARYRULE WHADVP+ADV Why
272 UNARYRULE ADP in
89 UNARYRULE NOUN name
1 UNARYRULE NP+NOUN Mississippi
3 UNARYRULE NOUN place
8 UNARYRULE NOUN book
1 UNARYRULE PRT+PRT on
7 UNARYRULE VP+VERB built
5 UNARYRULE NOUN address
9 UNARYRULE NP+NOUN water
8 UNARYRULE NOUN car
1 UNARYRULE PRT _RARE_
8 UNARYRULE VP+VERB invented
1 UNARYRULE PRON it
1 UNARYRULE NOUN Spain
10 UNARYRULE VERB say
1 UNARYRULE NP+VERB _RARE_
4 UNARYRULE NP+NOUN Spain
5 UNARYRULE NOUN Vietnam
2 UNARYRULE NOUN top
6 UNARYRULE NOUN school
4 UNARYRULE NP+NOUN power
1 UNARYRULE CONJ _RARE_
14 UNARYRULE VERB called
6 UNARYRULE NOUN George
5 UNARYRULE NOUN difference
8 UNARYRULE ADP between
5 UNARYRULE NOUN eye
1 UNARYRULE NP+NOUN countries
11 UNARYRULE VERB make
64 UNARYRULE . ,
21 UNARYRULE VP+VERB die
5 UNARYRULE NUM one
6 UNARYRULE CONJ or
5 UNARYRULE NOUN South
1 UNARYRULE NP+NOUN Vietnam
1 UNARYRULE NP+NUM two
5 UNARYRULE NOUN party
5 UNARYRULE PRON my
5 UNARYRULE NOUN American
5 UNARYRULE ADJ European
6 UNARYRULE NOUN Washington
118 UNARYRULE . ``
198 UNARYRULE DET a
1 UNARYRULE ADJ home
653 UNARYRULE WHNP+PRON What
2 UNARYRULE WHADVP+ADV _RARE_
19 UNARYRULE VERB get
1 UNARYRULE NP+VERB called
14 UNARYRULE ADJ much
5 UNARYRULE NOUN house
13 UNARYRULE VERB have
5 UNARYRULE NP+NOUN Earth
1 UNARYRULE VERB mean
6 UNARYRULE ADJ high
6 UNARYRULE NOUN horse
7 UNARYRULE NOUN point
5 UNARYRULE ADP before
2 UNARYRULE NP+NOUN animals
23 UNARYRULE VP+VERB born
5 UNARYRULE NOUN ball
5 UNARYRULE WHNP+PRON what
4 UNARYRULE VERB painted
3 UNARYRULE VP+VERB live
3 UNARYRULE NOUN London
7 UNARYRULE ADJ British
118 UNARYRULE . <<
126 UNARYRULE VERB are
1 UNARYRULE NP+NOUN America
4 UNARYRULE NP+NOUN Texas
4 UNARYRULE NOUN sport
1 UNARYRULE VP+VERB be
9 UNARYRULE NP+NOUN people
7 UNARYRULE DET which
5 UNARYRULE NP+NOUN president
1 UNARYRULE ADVP+ADV after
5 UNARYRULE NOUN water
9 UNARYRULE NOUN number
7 UNARYRULE NOUN home
3 UNARYRULE VERB buried
5 UNARYRULE NOUN team
5 UNARYRULE . :
3 UNARYRULE WHNP+DET Which
2 UNARYRULE NP+NOUN office
3 UNARYRULE NP+NOUN miles
15 UNARYRULE NOUN game
8 UNARYRULE NOUN woman
35 UNARYRULE VERB can
1 UNARYRULE VP+VERB did
5 UNARYRULE NOUN leader
10 UNARYRULE NOUN nickname
4 UNARYRULE NP+NOUN earth
5 UNARYRULE ADJ longest
1 UNARYRULE NP+NOUN state
25 UNARYRULE ADP as
1 UNARYRULE NP+ADJ _RARE_
70 UNARYRULE WHADVP+ADV How
5 UNARYRULE VP+VERB located
14 UNARYRULE ADP at
6 UNARYRULE NP+NOUN Alaska
4 UNARYRULE NP+NOUN home
7 UNARYRULE PRON your
10 UNARYRULE ADJ fast
7 UNARYRULE PRT+PRT up
390 UNARYRULE DET What
1 UNARYRULE NP+NOUN Johnson
41 UNARYRULE NOUN country
3 UNARYRULE ADJ National
38 UNARYRULE ADP from
1 UNARYRULE VP+VERB founded
5 UNARYRULE NOUN World
5 UNARYRULE NOUN show
5 UNARYRULE NOUN life
1 UNARYRULE ADV Why
7 UNARYRULE ADJ oldest
6 UNARYRULE VERB live
7 UNARYRULE NOUN river
1 UNARYRULE NOUN use
4 UNARYRULE VERB start
3 UNARYRULE NOUN Great
